Price,Bed,Bath,Sqft,Link
" $267,052 ",3,2,1464,https://www.realtor.com/realestateandhomes-detail/301-Nest-Cir_Yukon_OK_73099_M98292-23856
" $264,831 ",3,2,1464,https://www.realtor.com/realestateandhomes-detail/1-Evermore-Ln_Yukon_OK_73099_M79018-44005
" $314,702 ",3,2,1655,https://www.realtor.com/realestateandhomes-detail/612-Firefork-Ave_Yukon_OK_73099_M70278-00916
" $388,603 ",3,2.5,2205,https://www.realtor.com/realestateandhomes-detail/10412-NW-34th-St_Yukon_OK_73099_M79014-34080
" $398,566 ",4,2.5,2370,https://www.realtor.com/realestateandhomes-detail/10505-NW-33rd-St_Yukon_OK_73099_M99968-85902
" $280,900 ",4,2,1724,https://www.realtor.com/realestateandhomes-detail/9100-Yassir-Blvd_Yukon_OK_73099_M92258-50636
" $282,900 ",4,2,1765,https://www.realtor.com/realestateandhomes-detail/9216-Yassir-Blvd_Yukon_OK_73099_M90883-93338
" $407,055 ",4,2.5,2467,https://www.realtor.com/realestateandhomes-detail/11516-NW-107th-St_Yukon_OK_73099_M94388-65654
" $298,900 ",3,2,1730,https://www.realtor.com/realestateandhomes-detail/3613-Shutter-Ridge-Dr_Yukon_OK_73099_M98509-85229
" $267,900 ",3,2,1531,https://www.realtor.com/realestateandhomes-detail/8705-Yassir-Blvd_Yukon_OK_73099_M98983-59581
" $273,900 ",3,2,1604,https://www.realtor.com/realestateandhomes-detail/9409-NW-86th-St_Yukon_OK_73099_M90533-08681
" $264,900 ",3,2,1532,https://www.realtor.com/realestateandhomes-detail/11116-SW-36th-St_Yukon_OK_73099_M99319-34287
" $274,900 ",3,2,1603,https://www.realtor.com/realestateandhomes-detail/11112-SW-36th-St_Yukon_OK_73099_M92272-84085
" $349,900 ",3,2.5,2072,https://www.realtor.com/realestateandhomes-detail/11700-NW-104th-St_Yukon_OK_73099_M93440-24585
" $275,900 ",3,2,1541,https://www.realtor.com/realestateandhomes-detail/11120-SW-36th-St_Yukon_OK_73099_M93303-64897
" $353,900 ",3,2,2086,https://www.realtor.com/realestateandhomes-detail/11713-NW-103rd-St_Yukon_OK_73099_M93201-46047
" $324,900 ",3,2,1875,https://www.realtor.com/realestateandhomes-detail/11709-NW-103rd-St_Yukon_OK_73099_M96953-80488
" $288,900 ",3,2,1592,https://www.realtor.com/realestateandhomes-detail/11024-SW-34th-Ter_Yukon_OK_73099_M98775-61006
" $372,900 ",3,2,2200,https://www.realtor.com/realestateandhomes-detail/11701-NW-103rd-St_Yukon_OK_73099_M96505-18563
" $372,900 ",3,2,2200,https://www.realtor.com/realestateandhomes-detail/11712-NW-104th-St_Yukon_OK_73099_M96385-58595
